@relation PennyStockCompleteDataPrincipalComponents

@attribute ﻿class {0, 1}
@attribute volume_d numeric
@attribute avvolume_d numeric
@attribute p_change numeric
@attribute day_range numeric

@data
0,179560,263010,-0.02439,0.109756
0,164340,630605,-0.005404,0.018418
0,302700,127680,0,0.213333
0,173747,366427,0,0.406452
0,133899,94907,-0.008333,0.108333
0,142465,432592,0.005137,0.083733
0,175481,118466,-0.052632,0.263158
0,310031,87131,0,0.192308
0,153816,7030,-0.042619,0.268014
0,2384736,1091814,-0.1,0.28
0,300000,72270,0.005025,0
0,143169,75696,0.096491,0.210526
0,434275,183552,0.035714,0.007143
0,418154,208718,-0.074074,0.407407
0,186277,196648,-0.000769,0.092308
0,337590,37957,0.008333,0
0,320126,462137,0.004975,0.021559
0,3017500,925200,-0.001762,0.027598
0,311658,326326,-0.014509,0.02289
0,226800,56160,-0.00111,0.007214
0,347550,178762,0,0.142857
0,272757,276608,-0.010148,0.010148
0,327360,42875,-0.005831,0.002915
0,390936,576639,-0.001288,0.014163
0,740828,140040,-0.027778,0.693519
0,253031,196129,0.022727,0.272727
0,432880,152028,0,0.130357
0,99750,71137,-0.25,1.5
0,473077,112728,-0.009317,0.006211
0,293550,18726070,0.013874,0.154749
0,216052,907029,0.05,0.2
0,746946,1227930,-0.013347,0.050612
0,248717,162910,-0.043515,0.041841
0,151740,283275,-0.042553,0.078014
0,474000,0,0.001902,0.002536
