Symbol	Description
DESTQ.OB	Destination Maternty
DETNF.OB	Aker BP ASA
DEVM.OB	Devmar Equities Inc
DEVV.OB	Bioscience Neutraceuticals Inc
DEWM.OB	Dewmar International Bmc Inc
DEWY.OB	Dewey Electronics Corp
DFCO.OB	Dalrada Financial
DFDDF.OB	Dfds A/S
DFEL.OB	China Tmk Battery Sys Inc
DFIFF.OB	Diamond Fields Intl
DFIHY.OB	Dairy Farm International Holdings Ltd
DFILF.OB	Dairy Farm International Holdings Ltd
DFLYF.OB	Draganfly Inc
DFMTF.OB	Defense Metals Corp
DFODQ.OB	Dean Foods Company
DFRYF.OB	Dufry Ag Basel
DFTC.OB	Defentect Group Inc
DFTS.OB	Defense Technology Sys
DGAOF.OB	Diversified Gas & Oil Plc
DGDM.OB	Digital Development Partners Inc
DGEAF.OB	Diageo Plc New Ord
DGGXF.OB	Digitalx Ltd
DGIF.OB	Digital Info Securit
DGIX.OB	Dyna Group Intl Inc
DGJI.OB	Dragon Jade Internat
DGLT.OB	Digiliti Money Group Inc
DGMLF.OB	DE Grey Mining Ltd
DGNG.OB	Diguang Intl Dev CO Ltd
DGNOF.OB	Diagnos Inc
DGPIF.OB	Data Communications Management Corp
DGRLY.OB	Delek Group ADR
DGTW.OB	Digitaltown Inc
DGWPF.OB	Draegerwerk Ag & CO Kgaa
DGWR.OB	Deep Green Waste & Recycling Inc
DHCC.OB	Diamondhead Casino Corp
DHHXF.OB	Desarrolladora Homex Sab DE Cv
DIAAF.OB	Diamant Art Corp
DIALF.OB	Dialight Plc
DIEN.OB	Diversified Energy Hlds
DIFTY.OB	Daito Trust Construc
DIGAF.OB	Digatrader Financial Corp
DIGI.OB	Digital Marketing Group Plc
DIGP.OB	Digipath
DIGTF.OB	Thruvision Group Plc
DIIBF.OB	Dorel Inds Cl B
DIISF.OB	Direct Line Insurance Group Plc
DIISY.OB	Direct Line Insurance Group Plc
DIMC.OB	Dimeco Inc
DIMEP.OB	Dime Community Bancshares
DINO.OB	Dino Energy Corp
DION.OB	Dionicsinc
DIOSF.OB	Dios Exploration Inc
DIPGY.OB	Datang International Power Generation Co.Ltd
DIRV.OB	Direct View Holdings Inc
DITHF.OB	D S Smith Plc
DIZTF.OB	Dignitana Ab
DJIFF.OB	Dajin Resources Corp
DJSP.OB	Djsp Enterprises Inc
DKAM.OB	Drinks Americas Hld
DKDRF.OB	Delek Drilling Ord
DKGH.OB	Dkg Capital Inc
DKGR.OB	Universal Apparel & Textile Company
DKILF.OB	Daikin Inds Ltd
DKILY.OB	Daikin Inds Ltd ADR
DKMR.OB	Duke Mountain Res Inc
DKSC.OB	Dakshidin Corporatio
DKTS.OB	Top Shelf Brands Holdings Corp
DLAKF.OB	Deutsche Lufthansa A
DLAKY.OB	Deutsche Lufthansa S
DLCR.OB	Kibush Capital Corp
DLGCF.OB	Datalogic Spa Bologna Ord
DLGEF.OB	Digital Garage Inc Tokyo
DLGI.OB	Datalogic Intl Inc
DLGNF.OB	Dialog Semicon Ord
DLII.OB	Dixie Lee Intl Inc
DLMAF.OB	Dollarama Inc
DLMV.OB	Delmarva Bncshs Inc
DLNDY.OB	D& L Industries Inc
DLOC.OB	Digital Locations Inc
DLPX.OB	Delphax Tech Inc
DLRYF.OB	Delrey Metals Corp
DLTA.OB	Delta Oil & Gas Inc
DLTI.OB	Dlt Resolution Inc
DLUEY.OB	DE LA Rue
DLVHF.OB	Delivery Hero Ag
DLYTD.OB	Dais Corp.
DMAN.OB	Demand Brands Inc
DMCD.OB	Detwiler Fenton Grp
DMCHY.OB	Dmci Holdings Inc ADR
DMDD.OB	Diamond Discov Intl
DMEC.OB	Domestic Energy Corp
DMEHF.OB	African Queen Mines Ltd
DMFG.OB	Decker Manufacturing
DMGGF.OB	Dmg Blockchain Solutions Inc
DMIFF.OB	Diamcor Mining Inc
DMKBA.OB	Denmark Bancshares I
DMKBB.OB	Denmark Bancshares Inc
DMLRY.OB	Daimler Ag ADR
DMMOY.OB	Dommo Energia
DMNKF.OB	Dni Metals Inc
DMNXF.OB	Sayona Mining Ltd Ord Shs
DMPZF.OB	Domino's Pizza Group Plc
DMRR.OB	Dayton & Michigan Railroad Co.
DMSI.OB	Dermisonics Inc
DMSQ.OB	Damariscotta Bankshares Inc
DMTKW.OB	Dermtech Inc WT
DMTRF.OB	3-D Matrix Ltd
DMZPY.OB	Domino's Pizza Enterprises Ltd ADR
DNACF.OB	Dena CO Ltd Tokyo
DNAG.OB	Dnaprint Genomics
DNAX.OB	Dna Brands Inc
DNBHF.OB	Dnb Nor ASA Ord Shs
DNCVF.OB	Defiance Silver Corp
DNDDD.OB	Dundee Sustainable Technologies Inc
DNFGF.OB	Dongfeng Motor Grp
DNFGY.OB	Dongfeng Mtr Gro ADR
DNGDF.OB	Dynacor Gold Mines Inc
DNHBY.OB	Dnb Nor ASA
DNIYY.OB	Danieli Spa
DNKEY.OB	Danske Bank A/S
DNKLY.OB	Danakali Ltd ADR
DNLMY.OB	Dunelm Group Plc ADR
DNNGY.OB	Orsted ADR
DNOPY.OB	Dino Polska Sa ADR
DNPCF.OB	Dai Nippon Printing CO Ltd
DNPLY.OB	Dai Nippon Prtg
DNRG.OB	Dominovas Energy
DNSKF.OB	Danske Bank A/S
DNTUF.OB	Dentsu Inc
DNTUY.OB	Dentsu Inc ADR
DNZOF.OB	Denso Corp Ltd Ord
DNZOY.OB	Denso Corp Ltd ADR
DODXF.OB	DB Ag Elements Dogs of The Dow TR Index
DOGEF.OB	Dong Energy A/S
DOLLF.OB	Dolly Varden Silver
DOMR.OB	Dominion Resources Black Warrior Trust
DOTDF.OB	Dotdigital Group Plc
DPAT.OB	Dental Patient Care Amer
DPBE.OB	Deep Blue Marine Inc
DPDW.OB	Deep Down Inc
DPFD.OB	Deep Field Techs Inc A
DPGYF.OB	Delphi Energy Corp
DPLS.OB	Darkpulse Inc
DPMLF.OB	Dundee Precious Metl
DPSGY.OB	Deutsche Post Ag ADR
DPSM.OB	3D Pioneer Systems
DPSTF.OB	Deutsche Post Ag
DPUKY.OB	Dominos Pizza UK & I
DPWW.OB	Diego Pellicer Worldwide Inc
DPXCF.OB	Delphx Capital Markets Inc
DQJCY.OB	Don Quijote CO Ltd
DREM.OB	Dream Homes & Development Corp
DRETF.OB	Dundee Real Est TR
DREUF.OB	Dundee Real Estate
DREXF.OB	Empress Resources Corp
DRGDF.OB	Detour Gold Corp
DRGV.OB	Dragon Capital Group Corp
DRIFF.OB	Xiana Mining Inc Ord
DRKOF.OB	Newcastle Energy Corp
DRNG.OB	Drone Guarder Inc
DRNK.OB	Noho Inc
DROP.OB	Fuse Science Inc
DRRSF.OB	D' Arianne Resources
DRSHF.OB	Droneshield Ltd
DRTGF.OB	Dart Group Plc
DRUNF.OB	Dream Unltd
DRVD.OB	Driven Deliveries Inc
DRWIQ.OB	Dragonwave
DRWKF.OB	Dragerwerk Ag Prd Shs Non
DRWN.OB	A Clean Slate Inc
DSCR.OB	Discovery Minerals Ltd
DSCSY.OB	Disco Corp
DSDVF.OB	Dsv A/S Ord
DSDVY.OB	Dsv A/S ADR
DSECF.OB	Daiwa Securities Group Inc
DSEEY.OB	Daiwa Securities ADR
DSFGY.OB	Dah Sing Financial Group ADR Repstg 3 Shs
DSFN.OB	Dsa Financial Corp
DSGT.OB	Dsg Global Inc
DSITF.OB	Dixons Carphone
DSKIF.OB	Daiseki CO Ltd Ord
DSKYF.OB	Daiichi Sankyo CO Ltd
DSNKY.OB	Daiichi Sankyo CO Ltd Ads
DSNY.OB	Destiny Media Technologies Inc
DSOL.OB	Drug Free Solution Inc
DSOX.OB	Triton Emission Solutions Inc
DSPA.OB	Ankaa Corp
DSRLF.OB	Diasorin S.R.L.
DSTR.OB	Dualstar Techs Corp
DSTZF.OB	Distell Group Holdings Ltd
DSUS.OB	Drone Services USA Inc
DSVMF.OB	Discovery Metals Corp
DTCWY.OB	Deutsche Wohnen Ag
DTEGF.OB	Deutsche Telekom Ag
DTEGY.OB	Deutsche Tele Ag Ads
DTEMF.OB	Ditem Explorations I
DTGI.OB	Digerati Technologies
DTHR.OB	Dthera Sciences
DTII.OB	Defense Technologies International Corp
DTMXF.OB	Datametrex Ai Ltd
DTNOF.OB	Det Norske Oljelskap
DTNOY.OB	Dno ASA ADR
DTRC.OB	Dakota Territory Resource Corp
DTRK.OB	Datatrak Intl Inc
DTRL.OB	Detroit Legal News CO
DTRO.OB	Deltron Inc
DTSL.OB	Delivery Technology Sltns
DTSRF.OB	Ether Capital Corp
DTST.OB	Data Storage Corp
DTTVY.OB	Dish TV India Ltd Gdr
DTXMF.OB	Deltex Medical Group Plc
DUAVF.OB	Dassault Aviation
DUFRY.OB	Dufry Ag
DUOT.OB	Duos Technologies Group Inc
DUOTD.OB	Duos Technologies Group Inc
DUTV.OB	Digital Uts Ventures
DUUO.OB	Duo World Inc
DUVNF.OB	Duran Venture Inc
DVAR.OB	Dovarri Inc
DVCR.OB	Diversicare Healthca
DVDCF.OB	Davide Campari Spa
DVDCY.OB	Davide Campari-Milano Spa
DVDDF.OB	Dividend 15 Split Corp II Cl A
DVDR.OB	Divide Drives Inc
DVFI.OB	Diversified Oil & Gas Hldgs
DVLP.OB	Golden Developing Solutions Inc
DVNHF.OB	Dvn Holdings Ltd
DVRRF.OB	Dlv Resources Ltd
DVSPF.OB	Dividend 15 Split
DVVDF.OB	Dividend Select 15 Corp
DWAHY.OB	Daiwa House Ind Ltd
DWIS.OB	Dinewise Inc
DWNX.OB	Delhi Bank Corp
DWOG.OB	Deep Well Oil & Gas
DWRKF.OB	Draegerwerk Ag
DWTIF.OB	Credit Suisse Nass Velocity Shs
DWWEF.OB	Diamond Estates Wines
DXBRF.OB	Dixie Brands Inc
DXIEF.OB	Dxi Energy Inc
DXMEF.OB	DB Xtrackers MSCI Europe Ucits ETF
DYFSF.OB	Dynamic Fuel Sys
DYLLF.OB	Deep Yellow Ltd
DYNE.OB	Dyntek Inc
DYNR.OB	Dynaresource Inc
DYRFF.OB	Dunes Exploration Ltd
DYSL.OB	Dynasil Cp America
DYYXF.OB	DB Commodity Double Long ETN
EACC.OB	Eautoclaims Inc
EACO.OB	Eaco Corp
EACR.OB	Earn-A-Car Inc
EACTF.OB	Earth Alive Clean Technologies Inc
EADSF.OB	European Aeronautic
EADSY.OB	European Aeronautic
EAHGF.OB	Eco Animal Health Group Plc
EAIAF.OB	East Asia Minerals
EANRF.OB	Eastmain Res Inc
EAPH.OB	Easton Pharmaceuticals Inc
EARI.OB	Entertainment Arts Research Inc
EATR.OB	Eastern Asteria Inc
EAUI.OB	Eau Technologies Inc
EAWD.OB	Eurosport Active Wo
EBBGF.OB	Enbridge Inc Fxdfr Prf Perpetual USD 25 Ser
EBBNF.OB	Enbridge Inc
EBCOY.OB	Ebara Corp Ltd ADR
EBGEF.OB	Enbridge
EBKDY.OB	Erste Group Bk ADR
EBKOF.OB	Erste Group Bank Ag
EBML.OB	Ebullion Inc
EBODF.OB	Renewable Energy Trade Board Corp
EBRPY.OB	Ebro Foods Sa ADR
EBSH.OB	Empire Bancshares Inc
EBYH.OB	E-Buy Home Inc
ECAOF.OB	Eco Atlantic
ECCE.OB	Eagle Ford Oil & Gas
ECCI.OB	Ecoloclean Industries Inc
ECDD.OB	Ecrid Inc
ECDP.OB	Eco Depot Inc
ECEZ.OB	Ecosciences Inc
ECGI.OB	Ecgi Holdings Inc
ECGR.OB	Bellatora Inc
ECGS.OB	Falcon Technologies Inc.
ECIA.OB	Encision Inc
ECIFF.OB	Electricite DE Franc
ECIFY.OB	Electricite DE Franc
ECIGQ.OB	Electronic Cigarettes International Group Ltd
ECMH.OB	Encompass Holdings
ECMT.OB	Ecomat Inc
ECMXF.OB	Universal Copper Ltd
ECNCF.OB	Ecn Capital
ECNRF.OB	Worldwide Resources Corp
ECOGF.OB	Econocom Group Sa Ord
ECOP.OB	Eco-Shift Power Corp
ECORF.OB	Elcora Resources Corp
ECOS.OB	Ecolocap Solutions
ECOX.OB	Eco Innovation Group Inc
ECPL.OB	Ecoplus Inc
ECPN.OB	El Capitan Prec Mtls
ECRD.OB	Ecard Inc
ECRFF.OB	Cartier Resources
ECRO.OB	Ecc Cap. Corp
ECRTF.OB	Atex Resources Inc
ECSL.OB	Ecare Solutions Inc
ECSNF.OB	Ecosynthetix Inc
ECSTF.OB	ETFS Commodity Securities Ltd Wisdomtree Copper
ECTE.OB	Echo Therapeutics
ECUI.OB	Ecuity Inc
ECVTF.OB	Economic Invst TR Ltd
ECXJ.OB	CXJ Group CO Ltd
ECYGF.OB	ETFS Commodity Securities Ltd Wisdomtree Natural
EDCFF.OB	Enel Generacion Costanera S.A. Cl B
EDCI.OB	Edci Holdings Inc
EDEYF.OB	Edenenergyltd
EDMCQ.OB	Education Management Corp
EDNMF.OB	Edenred Sa
EDNMY.OB	Edenred
EDPFY.OB	Energias DE Port S.A.
EDRVF.OB	Edp Renovaveis Sa
EDSFF.OB	Exceed Company Ltd
EDTXF.OB	Spectral Diagnostics
EDVMF.OB	Endeavour Mining Corp
EDVR.OB	Endeavor Bk
EDXC.OB	Endexx Corp
EDYYF.OB	Enerdynamic Hybrid Tech
EEGI.OB	Eline Entertainment
EEIG.OB	024 Pharma Inc
EEMMF.OB	E3 Metals Corp
EENC.OB	Emergent Energy Corp
EENX.OB	Energenx Inc
EESE.OB	Energy & Environmental Services Inc
EESH.OB	Eestech Inc
EESO.OB	Enzyme Envirnmntl Sltns
EEVVF.OB	Eve & CO Inc
EEYUF.OB	Essential Energy Ser
EFBI.OB	Eagle Financial Bancorp Inc
EFFDF.OB	ETFS Russell 2000 US Small Cap Go Ucits ETF
EFFI.OB	Efftec Intl Inc
EFGIF.OB	Efg International Zuerich
EFGSY.OB	Eiffage Sa ADR
EFIN.OB	Eastern Michigan Financial Corp
EFIR.OB	Egpi Firecreek Inc
EFLVF.OB	Electrovaya Inc
EFNCF.OB	ETFS Fund CO Plc Shs ETF USD
EFOT.OB	Efotoxpress Inc
EFRGF.OB	Enforcer Gold
EFRMF.OB	East Africa Metals I
EFRTF.OB	Nexus REIT TR Unit
EFSG.OB	Enterprise Finl Svcs Gp A
EFSH.OB	1847 Holdings Llc
EFSI.OB	Eagle Fincl Svcs Inc
EFTI.OB	Earthfirst Techs Inc
EGBB.OB	Earthblock Technologies Inc
EGDD.OB	Eastern Goldfields Inc
EGDFF.OB	Energold Drilling CO
EGDW.OB	Edgewater Bancorp
EGFEF.OB	E F G Eurobank S.A.
EGFEY.OB	E F G Eurobank Ergas
EGHSF.OB	Enghouse Sys Ltd
EGIEY.OB	Engie Brasil Energia S.A.
EGIL.OB	Edgetech Intl Inc
EGKLF.OB	Elringklinger Ag
EGKPF.OB	Eagle Bulk Shipping
EGMCF.OB	Emgold Mining Corp
EGOC.OB	Energy 1 Corp
EGPLF.OB	Eagle Plains Res Ltd
EGRAF.OB	Energy Res of Austrl
EGRGF.OB	Eagle Energy Inc
EGRNF.OB	China Evergrande Group
EGRNY.OB	China Evergrande Group ADR
EGTK.OB	Energtek Inc
EGTYF.OB	Eguana Technologies Inc
EGXP.OB	Eagle Exploration CO
EGYF.OB	Energy Finders Inc
EHGRF.OB	Star Entertainment Group Ltd
EHMEF.OB	Easyhome Ltd
EHOS.OB	Ehouse Global Inc
EHVVF.OB	Ehave Inc
EIFZF.OB	Exchange Income Corp
EIHC.OB	Environmental Infrst
EIHDF.OB	888 Holdings Plc
EIPAF.OB	Eni Spa Roma
EIPC.OB	Enable IPC Corp
EJPRF.OB	East Japan Railway CO
EJPRY.OB	East Japan Railway C
EJTTF.OB	Easyjet Plc
EKCS.OB	Electronic Control Security Inc
EKNL.OB	Eko International Cp
EKTAF.OB	Elekta B Shs
EKTAY.OB	Elekta B Shs ADR
ELAMF.OB	Elamex S.A. DE C.V.
ELAXU.OB	Elanco Animal Health Inc Units [ Purchase Contra
ELBSF.OB	Engagement Labs
ELCI.OB	Eastern Light Capital Inc
ELCO.OB	Elcom Intl Inc
ELCPF.OB	Edp Energias DE Portugal S.A.
ELCQ.OB	Electromedical Technologies Inc
ELCR.OB	Electric Car Company
ELED.OB	Energie Holdings Inc
ELEEF.OB	Element Financial
ELEZY.OB	Endesa S.A. ADR
ELFIF.OB	E L Finl Corp
ELGL.OB	Element Global Inc
ELIO.OB	Elio Motors Inc
ELIXF.OB	Elixxer Ltd
ELKMF.OB	Gold Road Resources
ELLH.OB	Elah Holdings Inc
ELLKY.OB	Ellaktor Sa ADR
ELLXF.OB	Elixinol Global Ltd
ELMA.OB	Elmer Bancorp Inc
ELMFF.OB	Elmo Software Ltd
ELMTY.OB	Elementis Plc [Uk] ADR Level 1
ELNOF.OB	El Nino Ventures Inc
ELNX.OB	Elinx Corp
ELPVY.OB	Companhia Paranaense DE Energia
ELRA.OB	Elray Resources Inc
ELRE.OB	Yinfu Gold
ELRFF.OB	Eastern Platinum Ltd
ELRNF.OB	Elron Electronics ##
ELRRF.OB	Eloro Resources Ltd
ELSSF.OB	S.A. Elis
ELST.OB	Electronic Sys Technology Inc
ELTLF.OB	Elementos Ltd
ELTP.OB	Elite Pharma Inc
ELTZ.OB	Elite Group Inc
ELUXF.OB	Electrolux A B Cl B
ELUXY.OB	A B Electrlx S ADR
ELVAF.OB	Evolva Holding
ELXMF.OB	Ellex Medical Lasers Ltd
ELYGF.OB	Ely Gold & Minerals
EMALF.OB	Wisdomtree Commodity Securities Limited ETFS Phy
EMBA.OB	Emamba Intl Corp
EMBI.OB	Emerald Bioscience Inc
EMBR.OB	Embarr Downs Inc
EMBVF.OB	Arca Contineintal S.A.
EMBYF.OB	Emerald Bay Energy Inc
EMDF.OB	E Med Future Inc
EMEXF.OB	Emerald Plantation
EMFGF.OB	Emefcy Group Ltd
EMGC.OB	Emergent Capital Inc
EMHI.OB	East Morgan Holdings
EMHTF.OB	Emerald Health Therapeutics Inc
EMIS.OB	Emisphere Tech
EMITF.OB	Elbit Imaging Ord
EMLAF.OB	Empire Ltd Cl A
EMLL.OB	El Maniel Intl Inc
EMMA.OB	Emmaus Life Sciences Inc
EMMAW.OB	Emmaus Life Sciences Inc WT
EMMD.OB	Emedia Group Inc
EMMOF.OB	Emblem Corp WT
EMNSF.OB	Elementis 1998 Plc
EMOR.OB	Emerald Organic Prods Inc
EMPK.OB	Empire Natl Bank[Ny]
EMPM.OB	Empire Post Media IN
EMPO.OB	Empowered Products Inc
EMPR.OB	Empire Petroleum
EMRAF.OB	Emera Incorporated
EMRN.OB	Emarine Global Inc
EMRRF.OB	Evrim Resources Corp
EMYB.OB	Embassy Bancorp Inc
EMYIF.OB	Euromoney Institutional Investors Plc
ENAB.OB	Enable Holdings Inc
ENAFF.OB	Enablence Techs Inc
ENAKF.OB	E On Aktiengesellsch
ENBBF.OB	Enbridge Inc Cum Red Pref Shs Ser J
ENBFF.OB	Enbridge Inc Fxdfr Prf Perpetual CAD 25 Ser
ENBP.OB	Enb Financial Corp
ENCB.OB	Encore Brands Inc
ENCC.OB	Encompass Compliance Corp
ENCR.OB	Ener Core Inc
ENCS.OB	Encore Energy Systems Inc
ENCTF.OB	Encanto Potash Corp
ENCUF.OB	Encore Energy Corp
ENCW.OB	Encore Wireless Inc
ENDO.OB	Endocan Corp
ENDTF.OB	Enervest Div TR Unit
ENDV.OB	Endonovo Therapeutics Inc
ENGA.OB	Engage Mobility Inc
ENGGF.OB	Enagas Sa
ENGGY.OB	Enagas Sa ADR
ENGIY.OB	Gdf Suez ADR
ENGMF.OB	Enthusiast Gaming Holdings Inc
ENGQF.OB	Engie S.A.
ENGT.OB	Energy & Technology CO RP
ENGY.OB	Rio Vista Energy Partners LP
ENHD.OB	Energroup Holdings Corp
ENHT.OB	Enherent Corp
ENKS.OB	Enerkon Solar International Inc
ENLAY.OB	Enel Societa Per Azi
ENMHF.OB	Enm Holdings Ltd
ENPRF.OB	Enpar Technologies Inc
ENQUF.OB	Enquest Plc London
ENRFF.OB	Enerflex Ltd
ENRT.OB	Enertopia Corporatio
ENTCF.OB	Entrec Corp
ENTI.OB	Encounter Technologi
ENVS.OB	Enova Systems Inc
ENZC.OB	Enzolytics Inc
ENZH.OB	Enzymes of Amer Hld Corp
ENZN.OB	Enzon Pharma Inc
EOCCY.OB	Enel Generacion Chile S.A. ADR
EOFBF.OB	Ecofibre Ltd
EONGY.OB	Eon Ag Ads
EOPSF.OB	Electro Opic Sys Ltd Ord
EORBF.OB	Exploration Orbite V
EOSC.OB	Electro-Optical Sys Corp
EOSI.OB	Eos Intl Inc
EOSS.OB	Eos Inc
EOXFF.OB	Euromax Res Ltd
EPAZ.OB	Epazz Inc
EPEGQ.OB	Ep Energy Corp
EPEO.OB	E'Prime Aerospace Corp
EPGG.OB	Empire Global Gaming
EPGNF.OB	Epigenomics Ag Berli
EPGRQ.OB	Environmental Pwr Corp
EPLYF.OB	Eps Holdings Inc
EPOKY.OB	Epiroc Aktiebolag ADR
EPOR.OB	Epic Corp
EPRJF.OB	Emperor Watch & Jewellery
EPRSQ.OB	Epirus Biopharm Inc
EPTI.OB	Environmental Packaging Technologies Holdings IN
EPWCF.OB	Empower Clinics Inc
EPWDF.OB	Electric Power Development Co. Ltd [Japan]
EPWMF.OB	Epower Metals Inc
EPXY.OB	Epoxy Inc
EQBBF.OB	Eqt Ab
EQFN.OB	Equitable Fincl
EQLB.OB	Eq Labs Inc
EQTE.OB	Eqm Techs & Energy Inc
EQTL.OB	Equitech Intl Corp
EQTRF.OB	Altamira Gold Corp
EQUEY.OB	Equatorial Ener ADR
EQUI.OB	Equifin Inc
EQUR.OB	E-Qure Corp
EQXWF.OB	Equinox Gold Corp WT
ERAO.OB	Energy Revenue America Inc
ERBA.OB	Erba Diagnostics Inc
ERBB.OB	American Green Inc
ERDCF.OB	Erdene Resource Dev
ERELY.OB	Erdemir ADR
EREPF.OB	Empire Cap Corp Cda
ERFB.OB	Erf Wireless Inc
ERFSF.OB	Eurofins Scientific
ERGO.OB	Total Nutraceutical
ERHE.OB	Erhc Energy Inc
ERILF.OB	Empire Industries Ltd
ERINQ.OB	Erin Energy Corp
ERIXF.OB	Ericsson Lm Tel Cl B
ERKH.OB	Eureka Homestead Bancorp Inc
ERLFF.OB	Entree Resources Ltd
ERMAF.OB	Eramet Sln Ord
ERMAY.OB	Eramet Sa ADR
ERMG.OB	Erecord Management Inc NV
EROX.OB	Human Pheromone Sciences Inc
ERRAF.OB	Emera Inc Cum Pfd 5 Yr Rate Reset Ser C
ERRCF.OB	Westkam Gold Corp
ERRFY.OB	Eurofins Scientific S.E. ADR
ERRPF.OB	Ero Copper Corp
ERRSF.OB	Euro Ressources Sa
ERUC.OB	Er Urgent Care Hlds
ERVFF.OB	Erin Ventures Inc
ESALF.OB	Eisai CO Ltd
ESALY.OB	Eisai CO Ltd ADR
ESBS.OB	Es Bancshares Inc
ESCC.OB	Evans & Sutherland Computer Corp
ESCSQ.OB	Escalera Resources CO
ESCU.OB	Edoorways International Corp
ESES.OB	Eco-Stim Energy Solutions Inc
ESFS.OB	Eco-Safe Systems USA
ESGI.OB	Ensurge Inc
ESHDF.OB	Esprit Holdins Ltd
ESINQ.OB	ITT Educational Services Inc
ESKYF.OB	Eskay Mining Corp
ESLOF.OB	Essilor Intl
ESLOY.OB	Essilor Intl ADR
ESLP.OB	Euro Solar Parks Inc
ESMC.OB	Escalon Med Cp
ESNC.OB	Ensync Inc
ESNR.OB	Electronic Senor Tec
ESOA.OB	Energy Services Acquisition Corp
ESOCF.OB	Enel-Societa Per Azi
ESPGY.OB	Esprit Hlds Ltd ADR
ESPHQ.OB	Exosphere Technolog
ESPIQ.OB	Esp Resources Inc
ESQF.OB	Esecuresoft CO
ESRG.OB	Electron Solar Energy
ESSI.OB	Eco Science Solutions Inc
ESSYY.OB	Essity Aktiebolag ADR
ESTRF.OB	Estre Ambiental Inc
ESTWF.OB	Estre Ambiental Inc WT
ESVIF.OB	Ensign Energy Svcs
ESWW.OB	Envnmtl Sols Wrldwde
ESYJY.OB	Easy Jet Plc
ESYL.OB	Easylink Solutions C
ETAH.OB	Eternity Hlthcre
ETAR.OB	Entertainment Arts Inc
ETBI.OB	Eastgate Biotech Corp
ETCC.OB	Environmmtl Tectonic
ETCG.OB	Ethereum Classic Investment Trust
ETCIA.OB	Electronic Telecom A
ETCK.OB	Enerteck Corp
ETCMY.OB	Eutelsat Communications S.A.
ETEK.OB	Eco-Tek Group Inc
ETFLF.OB	Eastfield Res Ltd
ETFM.OB	2050 Motors Inc
ETHE.OB	Grayscale Ethereum Trust [Eth]
ETHOF.OB	Ethos Capital
ETII.OB	Envirotechnologies International Inc
ETINY.OB	Ei Group Plc ADR
ETIVF.OB	Electra Private Equity
ETKEF.OB	Entek Energy Ltd
ETMSF.OB	ETFS Wisdomtree Physical Palladium Ind
ETNI.OB	Entest Group Inc
ETOLF.OB	Enterprise Group Inc
ETPHF.OB	Agriminco Corp
ETRXF.OB	Etrion Corp
ETST.OB	Earth Science Tech Inc
ETTYF.OB	Essity Aktiebolag [Publ]
EUOT.OB	Eurotech Ltd
EURI.OB	Agrieuro Corp
EURPF.OB	Eurolife Brands Inc
EUSHF.OB	Eurocash Sa Shs
EUTLF.OB	Eutelsat Communicati
EUUNF.OB	European Uranium Resources Ltd
EUXTF.OB	Euronext NV
EUZOF.OB	Eurazeo Paris Ord
EVAHF.OB	Egf Theramed Health Corp
EVARF.OB	Lombard Medical Inc
EVCC.OB	Environmental Contrl
EVCI.OB	Evci Career Colleges
EVGEF.OB	Evergreen Gaming Corporation
EVGUF.OB	Evergold Corp
EVIO.OB	Evio Inc
EVKIF.OB	Evonik Industries
EVLI.OB	Everlert Inc
EVLLF.OB	Enviroleach Technologies Inc
EVNNF.OB	Eviana Health Corp
EVNVY.OB	Evn Ag ADR
EVOA.OB	Evo Transportation & Energy Services Inc
EVOGF.OB	Evolving Gold Corp
EVRC.OB	Evercel Inc
EVRM.OB	Evermedia Group Inc
EVRN.OB	Everock Inc
EVRRF.OB	Everton Resources IN
EVRZF.OB	Evraz Plc Ord
EVSP.OB	Environmental Serv
EVSV.OB	Enviro-Serv Inc
EVTCY.OB	Evotec Ag Ads
EVTI.OB	Eventure Interactive Inc
EVTN.OB	Enviro Voraxial Tech
EVTP.OB	Ev Transportation Inc
EVUS.OB	Ev Charging USA Inc
EVVLF.OB	Evolve Funds Group Inc Evolve Marijuana ETF
EVVRF.OB	Evr Holdings Plc
EVVTY.OB	Evolution Gaming Group Ab [Publ]
EVXXF.OB	European Electric Metals Inc
EWCLF.OB	Energy World Corp Ltd
EWLL.OB	Ewellness Healthcare Corp
EWLLD.OB	Ewellness Healthcare Corp
EWLU.OB	Merion Inc
EWPI.OB	Emerging World Pharma Inc
EWPMF.OB	Easts West Pete
EWRC.OB	Eworld Companies
EXBX.OB	Exobox Tech Corp
EXCE.OB	Exco Resources Inc
EXCOF.OB	Exco Technologies Ltd
EXDI.OB	Exactus Inc
EXDW.OB	Exceed World Inc
EXEO.OB	Exeo Entertainment
EXETF.OB	Extendicare Inc
EXLA.OB	Helmer Directional
EXLLF.OB	Excellon Resources
EXMGF.OB	Excelsior Mng Corp
EXMT.OB	Exchange Mobile Telecommunications Corp
EXNT.OB	Enxnet Inc
EXPFF.OB	Experion Holdings Ltd
EXPGF.OB	Experian Plc
EXPGY.OB	Experian Plc ADR
EXPH.OB	Expo Holding Inc
EXPL.OB	Endurance Exploration Group Inc
EXRG.OB	Ecologix Resource
EXROF.OB	Exro Technologies Inc
EXRTF.OB	Exactearth
EXSO.OB	Cons Eco-Systems Inc
EXSPF.OB	Expert System Spa
EXSR.OB	Exchange Bank
EXTDF.OB	European Ex Traded Ord
EXXAF.OB	Exxaro Resources Ltd
