Symbol	Description
ADWPF.OB	Andrew Peller Ltd
ADXDF.OB	Adex Mining Inc
ADYEY.OB	Adyen NV ADR
ADYX.OB	Adynxx Inc
ADYYF.OB	Adyen NV
AEBZY.OB	Anadolu Efes Birck
AEDC.OB	American Energy Dev Corp
AEEI.OB	American Environment
AEEX.OB	Asia Equity Exchange Group Inc
AEGG.OB	American Energy
AEGOF.OB	Aegon NV Ord Shs
AEGXF.OB	Aecon Group Inc
AEGY.OB	Alternative Energy
AELTF.OB	Adacel Techs Ltd
AEMC.OB	Archer Entmt Mda Cmns
AENG.OB	Advanced Engine Techs Inc
AEPT.OB	American Energy Partners Inc
AERG.OB	Applied Energetics Inc
AERN.OB	Aer Energy Resources
AERO.OB	Aerogrow Intl Inc
AERS.OB	Aerius Cmn Stk
AESEW.OB	Allied Esports Entertainment Inc WT
AESTY.OB	Aes Tiete Energia Sa ADR
AETUF.OB	Arc Energy Trust Uni
AEXAF.OB	Atos Origin Sa Ord
AEXAY.OB	Atos ADR
AEXE.OB	Aim Exploration Inc
AEXFF.OB	Aminex Plc Ord
AFBA.OB	Allied First Bncp MD
AFBG.OB	American Fiber Green Products Inc
AFCJF.OB	Afc Ajax NV
AFFL.OB	Affiliated Res Corp
AFFS.OB	Amtrust Financial Services Inc 7.25% Subordinat
AFFT.OB	Amtrust Financial Services Inc 7.50% Subordinat
AFFU.OB	Affluence Corp
AFFY.OB	Affymax
AFHBL.OB	Atlas Financial Holdings Inc 6.625% Senior Uns
AFLYY.OB	Air France Ads
AFMJF.OB	Alphamin Resources
AFML.OB	Aerofoam Metals Inc
AFOM.OB	All For One Media Corp
AFPW.OB	Alumifuel Pwr Corp
AFRMF.OB	Alphaform Ag
AFSIA.OB	Amtrust Financial Services Inc Pfd. A
AFSIB.OB	Amtrust Financial Services Dep Pfd
AFSIC.OB	Amtrust Financial Services Inc Pfd. C
AFSIM.OB	Amtrust Financial Services Inc Prf
AFSIN.OB	Amtrust Financial Services Inc Pfd F
AFSIP.OB	Amtrust Financial Services Dep Pfd
AFTC.OB	Alternative Fuel Tec
AFTM.OB	Aftermaster Inc
AFTPF.OB	Afterpay Touch Group Ltd
AFYG.OB	Affinity Gold Corp
AGCBF.OB	Amarillo Gold Corpor
AGCCF.OB	Gensource Potash
AGCZ.OB	Andes Gold Corp
AGDXF.OB	Antioqua Gold Inc
AGDY.OB	Agri-Dynamics Inc
AGEEF.OB	Halo Labs Inc
AGESY.OB	Ageas N.V. Ads
AGFAF.OB	Agraflora Organics Intl Inc
AGFMF.OB	AGF Management Ltd
AGFXF.OB	DB Agriculture Long ETN Due April 1 2038
AGGFF.OB	African Gold Gr
AGGG.OB	Antilia Group Corp
AGGHF.OB	Agrios Global Holdings Ltd
AGGI.OB	Allied Energy Inc
AGGL.OB	Agtech Global International Inc
AGGX.OB	Angiogenex Inc
AGGZF.OB	Ag Growth Inc Fd
AGHC.OB	Aeon Global Health Corp
AGHI.OB	Agora Holdings Inc
AGIN.OB	American Graphite Technologies Inc
AGLDF.OB	Austral Gold Ltd
AGLNF.OB	Agl Energy
AGLXY.OB	Agl Energy Ltd ADR
AGLY.OB	Agiliti Inc
AGMJF.OB	Algoma Cent Corp [F]
AGNPF.OB	Algernon Pharmaceuticals Inc.
AGOAF.OB	Abengoa S.A.
AGPIF.OB	Anglo Pacific Res Plc Ord
AGPPF.OB	Anglo Plati Ord Shs
AGPYY.OB	Agile Group Holdings Ltd ADR
AGRIP.OB	Agribank Fcb Non Cum Pfd Fxd/Fltg Ser A
AGRPY.OB	Absa Group Ltd New A
AGRS.OB	Agristar Inc
AGSVF.OB	Argentum Silver Corp
AGTEF.OB	Agtech Holdings Ltd
AGTK.OB	Agritek Holdings Inc
AGTT.OB	Angstrom Technologies Inc
AGUNF.OB	Arctic Glacier TR UT
AGXKF.OB	Anglo Asian Mng Plc Ord
AGYP.OB	Allied Energy Corp
AGYTF.OB	Allergy Therapeutics Plc
AGZNF.OB	Aegean Airlines
AHAD.OB	Alphacom Holdings Inc
AHAG.OB	Alpha Techs Grp Inc
AHAHF.OB	Ahalife Holdings Ltd
AHCHF.OB	Anhui Conch Cement C
AHCHY.OB	Anhui Conch Cem ADR
AHCOW.OB	Adapthealth Corp. WT
AHCP.OB	Anchorage International Holdings Corp
AHELF.OB	American Helium Inc
AHEXF.OB	Adecco Sa Cheserex
AHEXY.OB	Adecco Sa ADR
AHFD.OB	Active Health Foods
AHFI.OB	Absolute Health & Fitness
AHGIF.OB	Alternate Health Corp
AHII.OB	American Heritage International Inc
AHIX.OB	Aluf Holdings Inc
AHKSF.OB	Asahi Kaisai Corp
AHKSY.OB	Asahi Kaisai Cp ADR
AHNR.OB	Athena Silver Corp
AHODF.OB	Koninklijke Ahold NV
AHOTF.OB	American Hotel
AHROQ.OB	Atheronova Inc
AHWSF.OB	Athens Water & Sewerage Public CO Eydap [Greece]
AIABF.OB	Airasia Group Berhad
AIBGY.OB	Aib Group Plc ADR
AIBRF.OB	Aib Group Plc
AICAF.OB	Air China Ltd
AIDA.OB	Aida Pharmaceuticals
AIFLY.OB	Aiful Corp [Japan] ADR
AIFS.OB	Agent Info Software
AIGI.OB	Artistmss Intl Group Inc
AIKO.OB	Alternative Investment Corp
AILIO.OB	Ameren Illinois CO Pfd 4.26%
AILIP.OB	Ameren Illinois 4.20 Pfd
AILLL.OB	Central Illinois Public Service Company
AILLN.OB	Ameren Illinois CO Pfd 4.9%
AILLO.OB	Ameren Illinois CO Pfd 4.25%
AILQF.OB	Airlq Inc
AIMH.OB	Aimrite Holdings Cor
AINGZ.OB	Agnc Investment Corp Fxdfr Prf Perpetual USD 25
AINSF.OB	Ainsworth Game Tech
AIOSF.OB	Atresmedia Corporacion DE Medios DE Comunicacion
AIPUY.OB	Airports of Thailand Public CO Ltd ADR
AIQUF.OB	L'Air Liquide Ord EU
AIQUY.OB	L'Air Liquide ADR
AIRO.OB	Airspan Networks Inc
AIRRF.OB	Aurion Res Ltd
AIRYY.OB	Air China Ltd ADR
AISSF.OB	Aisoftware Spa
AITA.OB	Wunong Asia Pacific CO Ltd
AITX.OB	Artificial Intelligence Tech Solutions Inc
AIVAF.OB	Aviva Plc
AIVN.OB	American International Ventures Inc
AIXN.OB	Aixin Life International Inc
AIXXF.OB	Aixtron Se
AJINY.OB	Ajinomoto CO Inc ADR
AJLGF.OB	Aj Lucas Group Ltd
AJMPF.OB	Ashmore Group Plc
AJXGF.OB	Agjunction Inc
AKAOQ.OB	Achaogen Inc
AKBTY.OB	Akbank Turk Ano ADR
AKEJF.OB	Ariake Japan
AKKVF.OB	Akastor ASA
AKMNF.OB	Akumin Inc
AKOM.OB	Aerkomm Inc
AKRFF.OB	Ackroo Inc
AKRRF.OB	Aker Philadelphia Sh
AKRTF.OB	Aker Solutions Holding ASA
AKSY.OB	Aksys Ltd
AKTAF.OB	Akita Drilling Ltd
AKVA.OB	Arkanova Energy Corp
AKZOF.OB	Akzo Nobel NV
AKZOY.OB	Akzo Nobel NV ADR #
ALAN.OB	Alanco Technologies Inc
ALARF.OB	Alaris Royalty
ALBHF.OB	Alibaba Health Information Technology Ltd
ALBKF.OB	Alpha Bank Grd2000
ALBKY.OB	The Alpha Bank A.E
ALBY.OB	Community Cap Bcshs
ALCN.OB	Atlantic Cntrl Entrpr Ltd
ALDS.OB	Applife Digital Solutions Inc
ALDVD.OB	Kiplin Metals Inc.
ALEAF.OB	Aleafia Health Inc
ALFDF.OB	Astral Foods Ltd
ALFFF.OB	Alfa S.A.B. DE C.V.
ALFVF.OB	Alfa-Laval Ab
ALFVY.OB	Alfa-Laval Ab ADR
ALGGF.OB	Alliance Global Group Inc
ALGGY.OB	Alliance Global
ALGWF.OB	Alliance Growers Corp
ALGXY.OB	Affinity Energy & Health Ltd ADR
ALIAF.OB	Alacer Gold Corp
ALID.OB	Allied Corp
ALIF.OB	Artificial Life Inc
ALIZF.OB	Allianz Ag
ALIZY.OB	Allianz
ALKEF.OB	Alkane Exploration N
ALKM.OB	Alkame Holdings Inc
ALKN.OB	Alkane Inc
ALLGF.OB	Alligator Bioscience Ab
ALLIF.OB	Alpha Lithium Corp
