class,volume_d,avvolume_d,p_change,day_range
0,726019,158205,-0.016528926,0.066115702
0,397077,765715,0,0.026677445
0,184668,582140,-0.044036697,0.110091743
0,198904,528797,0.012440191,0.015789474
0,122975,122636,0.006012951,0.066604995
0,775975,470894,0.013289037,0.360465116
0,87102,166385,-0.173228346,0.669291339
0,421734,53350,-0.04040404,0.484848485
0,401488,200936,0.008505468,0.116646416
0,316787,175874,-0.0390625,0.078125
0,179560,263010,-0.024390244,0.109756098
0,164340,630605,-0.005404369,0.018417994
0,302700,127680,0,0.213333333
0,173747,366427,0,0.406451613
0,133899,94907,-0.008333333,0.108333333
0,142465,432592,0.005136986,0.083732877
0,175481,118466,-0.052631579,0.263157895
0,310031,87131,0,0.192307692
0,153816,7030,-0.042618629,0.26801406
0,2384736,1091814,-0.1,0.28
0,300000,72270,0.005025126,0
0,143169,75696,0.096491228,0.210526316
0,434275,183552,0.035714286,0.007142857
0,418154,208718,-0.074074074,0.407407407
0,186277,196648,-0.000769231,0.092307692
0,337590,37957,0.008333333,0
0,320126,462137,0.004975124,0.021558872
0,3017500,925200,-0.001761597,0.027598356
0,311658,326326,-0.014509283,0.022890371
0,226800,56160,-0.001109878,0.007214206
0,347550,178762,0,0.142857143
0,272757,276608,-0.010147601,0.010147601
0,327360,42875,-0.005830904,0.002915452
0,390936,576639,-0.001287554,0.01416309
0,740828,140040,-0.027777778,0.693518519
0,253031,196129,0.022727273,0.272727273
0,432880,152028,0,0.130357143
0,99750,71137,-0.25,1.5
0,473077,112728,-0.00931677,0.00621118
0,293550,18726070,0.013874066,0.1547492
0,216052,907029,0.05,0.2
0,746946,1227930,-0.013346939,0.050612245
0,248717,162910,-0.043514644,0.041841004
0,151740,283275,-0.042553191,0.078014184
0,474000,0,0.001902346,0.002536462
